"rank"	"genomeid"	"class"	"superclade"	"lineage"	"GC"	"assembly_size"	"coding_density"	"N50"	"longest_contig"	"nContigs"	"isolation_source"	"completeness"	"contamination"	"quality_combined"	"Location"
2067	"GVMAG-M-3300009184-42"	"GVMAG"	"SC8"	"MGVL36"	45.25	179495	90	47885	51243	7	"Freshwater"	"medium"	"low"	"medium"	"Other"
930	"GVMAG-M-3300009184-46"	"GVMAG"	"SC8"	"MGVL34"	40.14	374073	91	28481	40750	19	"Freshwater"	"high"	"low"	"high"	"Other"
1546	"GVMAG-M-3300009185-10"	"GVMAG"	"SC9"	"MGVL57"	31.8	263037	87	11513	24499	26	"Freshwater"	"high"	"low"	"medium"	"Other"
1710	"GVMAG-M-3300009185-14"	"GVMAG"	"SC9"	"MGVL47"	32.5	233888	87	8932	27395	26	"Freshwater"	"medium"	"low"	"medium"	"Other"
968	"GVMAG-M-3300009185-15"	"GVMAG"	"SC9"	"MGVL57"	37.03	365886	89	10427	31529	37	"Freshwater"	"high"	"low"	"medium"	"Other"
1918	"GVMAG-M-3300009185-36"	"GVMAG"	"SC8"	"MGVL33"	40.88	203965	93	183595	183595	2	"Freshwater"	"medium"	"low"	"medium"	"Other"
412	"GVMAG-M-3300009185-54"	"GVMAG"	"SC9"	"MGVL57"	26.94	489772	85	38745	65357	16	"Freshwater"	"high"	"low"	"high"	"Other"
1985	"GVMAG-M-3300009185-7"	"GVMAG"	"SC8"	"MGVL33"	42.84	194046	92	113524	113524	2	"Freshwater"	"high"	"low"	"high"	"Other"
1168	"GVMAG-M-3300009187-29"	"GVMAG"	"SC9"	"MGVL57"	34.49	328829	92	62599	101126	6	"Freshwater"	"high"	"low"	"high"	"Other"
552	"GVMAG-M-3300009193-33"	"GVMAG"	"SC10"	"MGVL60"	23.84	454448	88	11976	37757	42	"Marine"	"high"	"low"	"medium"	"Other"
1799	"GVMAG-M-3300009409-46"	"GVMAG"	"SC9"	"MGVL42"	38.29	219736	93	22338	38195	13	"Marine"	"medium"	"low"	"medium"	"Other"
2169	"GVMAG-M-3300009419-14"	"GVMAG"	"SC8"	"MGVL33"	34.16	155652	93	57954	58121	5	"Deep subsurface"	"medium"	"medium"	"medium"	"Other"
1009	"GVMAG-M-3300009419-6"	"GVMAG"	"SC9"	"YLMV"	35.65	356405	90	14394	39127	27	"Deep subsurface"	"high"	"low"	"high"	"Other"
728	"GVMAG-M-3300009420-1"	"GVMAG"	"SC9"	"MGVL38"	29.35	414864	90	17457	48065	29	"Marine"	"high"	"medium"	"medium"	"Other"
2021	"GVMAG-M-3300009420-33"	"GVMAG"	"SC10"	"Tetraselmisviruses"	25.79	188296	91	7008	12250	27	"Marine"	"medium"	"low"	"low"	"Other"
335	"GVMAG-M-3300009422-16"	"GVMAG"	"SC10"	"MGVL68"	30.12	520297	91	54501	84984	20	"Marine"	"high"	"low"	"high"	"Other"
1049	"GVMAG-M-3300009425-37"	"GVMAG"	"SC9"	"MGVL42"	28.1	349130	92	24357	35178	19	"Marine"	"medium"	"low"	"medium"	"Other"
1639	"GVMAG-M-3300009426-8"	"GVMAG"	"SC9"	"Prymnesioviruses"	29.13	244857	87	12459	35219	22	"Marine"	"medium"	"low"	"medium"	"Other"
2000	"GVMAG-M-3300009428-8"	"GVMAG"	"SC9"	"MGVL43"	30	191790	89	8034	15587	24	"Marine"	"medium"	"low"	"medium"	"Other"
724	"GVMAG-M-3300009432-20"	"GVMAG"	"SC9"	"MGVL57"	30.24	415479	92	15543	33452	31	"Marine"	"high"	"low"	"medium"	"Other"
1600	"GVMAG-M-3300009434-15"	"GVMAG"	"SC9"	"MGVL41"	28.46	252593	90	11009	19135	25	"Marine"	"high"	"low"	"medium"	"Other"
1538	"GVMAG-M-3300009434-22"	"GVMAG"	"SC10"	"MGVL66"	24.28	264102	91	10975	26033	25	"Marine"	"high"	"low"	"medium"	"Other"
161	"GVMAG-M-3300009436-15"	"GVMAG"	"SC6"	"Klosneuviruses"	26.74	675011	82	27772	77195	33	"Marine"	"high"	"low"	"medium"	"Other"
943	"GVMAG-M-3300009436-18"	"GVMAG"	"SC9"	"MGVL42"	31.41	371237	90	12387	34046	34	"Marine"	"high"	"low"	"medium"	"Other"
1259	"GVMAG-M-3300009436-24"	"GVMAG"	"SC9"	"MGVL42"	30.31	312044	89	10133	49058	29	"Marine"	"high"	"low"	"high"	"Other"
1819	"GVMAG-M-3300009436-29"	"GVMAG"	"SC1"	"MGVSL2"	41.59	215977	91	21496	44999	11	"Marine"	"high"	"low"	"high"	"Other"
1229	"GVMAG-M-3300009436-33"	"GVMAG"	"SC9"	"MGVL57"	36.47	318228	91	21719	56010	20	"Marine"	"high"	"low"	"high"	"Other"
1822	"GVMAG-M-3300009436-41"	"GVMAG"	"SC9"	"MGVL45"	33.15	215547	93	29741	45902	11	"Marine"	"high"	"low"	"high"	"Other"
743	"GVMAG-M-3300009441-17"	"GVMAG"	"SC9"	"MGVL57"	32.04	413276	88	9835	22452	42	"Marine"	"high"	"medium"	"medium"	"Other"
1623	"GVMAG-M-3300009441-23"	"GVMAG"	"SC9"	"MGVL55"	31.98	247952	81	10102	23531	26	"Marine"	"high"	"low"	"medium"	"Other"
1411	"GVMAG-M-3300009443-14"	"GVMAG"	"SC6"	"Namaoviruses"	25.66	285199	88	8160	15647	37	"Marine"	"medium"	"low"	"medium"	"Other"
1641	"GVMAG-M-3300009443-8"	"GVMAG"	"SC10"	"MGVL66"	24.71	244503	93	19803	60208	14	"Marine"	"high"	"low"	"high"	"Other"
163	"GVMAG-M-3300009443-9"	"GVMAG"	"SC10"	"MGVL58"	19.77	673751	88	13806	30530	57	"Marine"	"high"	"low"	"low"	"Other"
1880	"GVMAG-M-3300009467-15"	"GVMAG"	"SC2"	"MGVL19"	38.6	208513	80	17655	25323	17	"Marine"	"medium"	"low"	"medium"	"Other"
2267	"GVMAG-M-3300009488-1"	"GVMAG"	"SC2"	"MGVL23"	36.05	111021	94	10943	16979	11	"Marine"	"medium"	"low"	"medium"	"Other"
584	"GVMAG-M-3300009488-12"	"GVMAG"	"SC9"	"MGVL42"	36.84	444760	90	16396	34106	33	"Marine"	"high"	"low"	"medium"	"Other"
1801	"GVMAG-M-3300009488-16"	"GVMAG"	"SC2"	"Iridoviruses"	35.81	219259	90	13460	27615	17	"Marine"	"high"	"medium"	"medium"	"Other"
1888	"GVMAG-M-3300009495-27"	"GVMAG"	"SC10"	"MGVL66"	29.93	207383	89	9994	19192	21	"Marine"	"high"	"low"	"medium"	"Other"
801	"GVMAG-M-3300009496-9"	"GVMAG"	"SC3"	"Coccolithoviruses"	32.2	400097	86	28536	44244	18	"Marine"	"medium"	"low"	"medium"	"Other"
649	"GVMAG-M-3300009497-12"	"GVMAG"	"SC9"	"MGVL57"	26.19	429367	92	37439	106385	15	"Marine"	"high"	"low"	"high"	"Other"
1534	"GVMAG-M-3300009498-22"	"GVMAG"	"SC9"	"MGVL41"	29.28	265189	93	22149	101016	14	"Marine"	"medium"	"low"	"medium"	"Other"
1504	"GVMAG-M-3300009502-26"	"GVMAG"	"SC2"	"MGVL23"	33.89	269665	90	19333	27127	16	"Freshwater"	"medium"	"medium"	"medium"	"Other"
684	"GVMAG-M-3300009507-18"	"GVMAG"	"SC9"	"MGVL42"	26.22	422889	89	11213	33795	43	"Marine"	"high"	"low"	"medium"	"Other"
1539	"GVMAG-M-3300009512-5"	"GVMAG"	"SC3"	"MGVL28"	37.31	263941	93	17597	33111	19	"Marine"	"high"	"low"	"high"	"Other"
949	"GVMAG-M-3300009529-2"	"GVMAG"	"SC2"	"Solumviruses"	34.67	369984	88	35802	54015	14	"Marine"	"high"	"low"	"high"	"Other"
85	"GVMAG-M-3300009529-9"	"GVMAG"	"SC10"	"MGVL67"	23.58	972378	88	13592	46174	77	"Marine"	"high"	"medium"	"low"	"Other"
1867	"GVMAG-M-3300009544-28"	"GVMAG"	"SC3"	"MGVL28"	26.57	210212	88	12088	20887	22	"Marine"	"high"	"low"	"medium"	"Other"
2168	"GVMAG-M-3300009550-18"	"GVMAG"	"SC3"	"Raphidoviruses"	28.07	155967	93	10289	24081	16	"Marine"	"high"	"low"	"medium"	"Other"
2142	"GVMAG-M-3300009681-26"	"GVMAG"	"SC6"	"Klosneuviruses"	26.42	163520	86	6322	10627	25	"Anaerobic digestor"	"low"	"low"	"low"	"Other"
1993	"GVMAG-M-3300009684-20"	"GVMAG"	"SC8"	"MGVL33"	50.07	192745	93	106806	106806	2	"Freshwater"	"medium"	"low"	"medium"	"Other"
386	"GVMAG-M-3300009684-23"	"GVMAG"	"SC9"	"YLMV"	34.78	497287	89	44857	93302	14	"Freshwater"	"high"	"low"	"high"	"Other"
1856	"GVMAG-M-3300009684-3"	"GVMAG"	"SC9"	"YLMV"	33.65	211933	87	6940	13824	29	"Freshwater"	"medium"	"low"	"low"	"Other"
1514	"GVMAG-M-3300009684-34"	"GVMAG"	"SC8"	"MGVL35"	40.27	268348	92	13358	26879	20	"Freshwater"	"high"	"low"	"medium"	"Other"
327	"GVMAG-M-3300009697-1"	"GVMAG"	"SC6"	"Faunusviruses"	27.27	524072	89	13812	43523	39	"Peat moss"	"high"	"low"	"medium"	"Other"
2070	"GVMAG-M-3300009705-27"	"GVMAG"	"SC9"	"MGVL42"	30.65	178807	90	8584	15840	22	"Marine"	"medium"	"low"	"medium"	"Other"
269	"GVMAG-M-3300009705-30"	"GVMAG"	"SC9"	"MGVL42"	26.19	552200	88	7774	15430	73	"Marine"	"high"	"medium"	"low"	"Other"
651	"GVMAG-M-3300009706-33"	"GVMAG"	"SC10"	"MGVL68"	19.84	429278	87	11955	26524	41	"Marine"	"high"	"low"	"medium"	"Other"
1502	"GVMAG-M-3300009706-38"	"GVMAG"	"SC9"	"MGVL46"	33.41	270524	90	10016	17251	30	"Marine"	"medium"	"low"	"medium"	"Other"
1688	"GVMAG-M-3300009706-42"	"GVMAG"	"SC10"	"MGVL65"	29.18	237600	90	8278	16305	29	"Marine"	"medium"	"low"	"medium"	"Other"
1951	"GVMAG-M-3300009785-3"	"GVMAG"	"SC9"	"MGVL47"	36.39	199033	89	7431	12649	26	"Marine"	"medium"	"medium"	"low"	"Other"
1869	"GVMAG-M-3300009785-4"	"GVMAG"	"SC10"	"MGVL66"	32.92	209839	91	13348	40119	17	"Marine"	"high"	"low"	"high"	"Other"
280	"GVMAG-M-3300009786-10"	"GVMAG"	"SC9"	"MGVL42"	28.2	545590	88	6275	26493	79	"Marine"	"medium"	"high"	"low"	"Other"
2128	"GVMAG-M-3300009786-2"	"GVMAG"	"SC10"	"MGVL66"	23.43	166442	92	7533	11271	24	"Marine"	"medium"	"high"	"low"	"Other"
1609	"GVMAG-M-3300009786-46"	"GVMAG"	"SC9"	"MGVL42"	35.17	250934	92	15792	28571	21	"Marine"	"medium"	"low"	"medium"	"Other"
1771	"GVMAG-M-3300010151-7"	"GVMAG"	"SC0"	"MGVSL3"	20.81	224093	89	33569	38181	7	"Marine"	"high"	"low"	"high"	"Other"
1118	"GVMAG-M-3300010157-15"	"GVMAG"	"SC2"	"MGVL23"	28.76	337910	87	19474	47135	25	"Freshwater"	"high"	"low"	"high"	"Other"
795	"GVMAG-M-3300010157-26"	"GVMAG"	"SC8"	"MGVL34"	39.92	401042	90	34906	92774	15	"Freshwater"	"high"	"low"	"high"	"Other"
621	"GVMAG-M-3300010157-4"	"GVMAG"	"SC9"	"MGVL54"	42.34	434705	88	81710	122923	8	"Freshwater"	"high"	"low"	"high"	"Other"
612	"GVMAG-M-3300010158-11"	"GVMAG"	"SC9"	"MGVL57"	39.37	437322	85	14124	23978	40	"Freshwater"	"high"	"low"	"medium"	"Other"
830	"GVMAG-M-3300010158-13"	"GVMAG"	"SC9"	"MGVL57"	32.35	394636	93	90278	136998	6	"Freshwater"	"high"	"low"	"high"	"Other"
532	"GVMAG-M-3300010158-15"	"GVMAG"	"SC10"	"MGVL61"	23.27	458950	91	28557	50723	25	"Freshwater"	"high"	"medium"	"medium"	"Other"
1829	"GVMAG-M-3300010158-33"	"GVMAG"	"SC8"	"MGVL36"	43.43	214726	91	26652	46534	13	"Freshwater"	"high"	"low"	"high"	"Other"
1282	"GVMAG-M-3300010158-36"	"GVMAG"	"SC9"	"MGVL55"	33.8	308556	90	19126	34926	18	"Freshwater"	"high"	"medium"	"medium"	"Other"
643	"GVMAG-M-3300010158-43"	"GVMAG"	"SC9"	"MGVL57"	29.83	430086	88	12387	40868	37	"Freshwater"	"high"	"low"	"medium"	"Other"
907	"GVMAG-M-3300010158-55"	"GVMAG"	"SC9"	"MGVL41"	30.65	377608	91	105106	110111	8	"Freshwater"	"high"	"low"	"high"	"Other"
343	"GVMAG-M-3300010158-59"	"GVMAG"	"SC9"	"MGVL52"	30.7	517518	92	131401	201739	5	"Freshwater"	"high"	"low"	"high"	"Other"
951	"GVMAG-M-3300010158-60"	"GVMAG"	"SC8"	"MGVL36"	45.7	369850	92	84167	109110	7	"Freshwater"	"high"	"low"	"high"	"Other"
308	"GVMAG-M-3300010158-63"	"GVMAG"	"SC9"	"MGVL57"	30.08	531605	89	31547	61079	22	"Freshwater"	"high"	"low"	"high"	"Other"
214	"GVMAG-M-3300010158-8"	"GVMAG"	"SC10"	"MGVL58"	20.91	589932	86	9019	21968	66	"Freshwater"	"high"	"medium"	"low"	"Other"
709	"GVMAG-M-3300010160-11"	"GVMAG"	"SC9"	"MGVL51"	33.84	418834	87	12537	20449	41	"Freshwater"	"high"	"low"	"medium"	"Other"
1786	"GVMAG-M-3300010160-26"	"GVMAG"	"SC1"	"MGVL2"	28.56	221296	87	55434	67623	6	"Freshwater"	"high"	"low"	"high"	"Other"
1091	"GVMAG-M-3300010160-29"	"GVMAG"	"SC9"	"MGVL57"	33.57	341150	86	11352	19992	32	"Freshwater"	"high"	"low"	"medium"	"Other"
633	"GVMAG-M-3300010160-4"	"GVMAG"	"SC2"	"MGVL12"	26.54	432780	87	67414	159747	10	"Freshwater"	"high"	"low"	"high"	"Other"
1972	"GVMAG-M-3300010160-44"	"GVMAG"	"SC8"	"MGVL33"	51	196931	93	115378	115378	8	"Freshwater"	"medium"	"medium"	"medium"	"Other"
70	"GVMAG-M-3300010160-56"	"GVMAG"	"SC6"	"Cafeteriaviruses"	25.66	1086463	90	25558	73573	64	"Freshwater"	"high"	"medium"	"low"	"Other"
1215	"GVMAG-M-3300010160-60"	"GVMAG"	"SC6"	"Klosneuviruses"	24.51	320849	93	54160	116223	10	"Freshwater"	"medium"	"low"	"medium"	"Other"
1313	"GVMAG-M-3300010160-7"	"GVMAG"	"SC8"	"MGVL36"	31.3	303580	94	11176	19528	31	"Freshwater"	"high"	"low"	"medium"	"Other"
1414	"GVMAG-M-3300010299-5"	"GVMAG"	"SC10"	"MGVL67"	32.21	285100	90	7684	19872	35	"Marine"	"high"	"low"	"medium"	"Other"
162	"GVMAG-M-3300010299-7"	"GVMAG"	"SC9"	"MGVL38"	22.31	674466	89	6891	20941	93	"Marine"	"high"	"medium"	"low"	"Other"
193	"GVMAG-M-3300010299-8"	"GVMAG"	"SC10"	"MGVL62"	23.28	625186	89	9141	33867	65	"Marine"	"high"	"medium"	"low"	"Other"
2098	"GVMAG-M-3300010300-1"	"GVMAG"	"SC10"	"Tetraselmisviruses"	22.65	173641	87	6503	11593	26	"Marine"	"medium"	"low"	"low"	"Other"
1961	"GVMAG-M-3300010318-5"	"GVMAG"	"SC9"	"MGVL43"	26.91	198284	88	6958	16163	27	"Marine"	"high"	"low"	"medium"	"Other"
256	"GVMAG-M-3300010334-24"	"GVMAG"	"SC9"	"MGVL52"	34.12	559142	90	31373	97304	22	"Freshwater"	"high"	"medium"	"medium"	"Other"
185	"GVMAG-M-3300010334-28"	"GVMAG"	"SC6"	"Klosneuviruses"	19.88	636855	90	12568	24905	56	"Freshwater"	"high"	"low"	"low"	"Other"
2213	"GVMAG-M-3300010334-34"	"GVMAG"	"SC8"	"MGVL35"	39.4	143505	92	9719	16154	15	"Freshwater"	"medium"	"low"	"medium"	"Other"
784	"GVMAG-M-3300010334-41"	"GVMAG"	"SC8"	"MGVL36"	32.39	403463	91	10101	27031	42	"Freshwater"	"high"	"high"	"low"	"Other"
28	"GVMAG-M-3300010334-45"	"GVMAG"	"SC6"	"Cafeteriaviruses"	21.39	1319802	92	42189	102420	42	"Freshwater"	"high"	"medium"	"medium"	"Other"
367	"GVMAG-M-3300010334-46"	"GVMAG"	"SC9"	"MGVL57"	30.33	506778	89	40675	60805	20	"Freshwater"	"high"	"low"	"high"	"Other"
1087	"GVMAG-M-3300010334-8"	"GVMAG"	"SC6"	"Cafeteriaviruses"	26.57	341713	91	9537	22417	38	"Freshwater"	"high"	"low"	"medium"	"Other"
828	"GVMAG-M-3300010354-11"	"GVMAG"	"SC10"	"Tetraselmisviruses"	34	394769	91	52477	116704	14	"Marine"	"high"	"low"	"high"	"Other"
821	"GVMAG-M-3300010354-16"	"GVMAG"	"SC9"	"MGVL44"	41.72	396346	88	14181	30678	33	"Marine"	"high"	"low"	"medium"	"Other"
1714	"GVMAG-M-3300010354-26"	"GVMAG"	"SC10"	"MGVL62"	21.75	233447	80	19050	37575	16	"Marine"	"high"	"low"	"high"	"Other"
658	"GVMAG-M-3300010354-31"	"GVMAG"	"SC10"	"MGVL62"	26.64	427121	91	30566	94584	20	"Marine"	"high"	"low"	"high"	"Other"
1181	"GVMAG-M-3300010354-52"	"GVMAG"	"SC9"	"MGVL54"	33.89	326477	89	9852	23093	35	"Marine"	"high"	"low"	"medium"	"Other"
1839	"GVMAG-M-3300010354-74"	"GVMAG"	"SC10"	"MGVL62"	26.51	213986	88	26908	46885	10	"Marine"	"medium"	"high"	"low"	"Other"
1182	"GVMAG-M-3300010368-17"	"GVMAG"	"SC10"	"MGVL66"	28.95	326275	93	32424	84375	13	"Marine"	"high"	"low"	"high"	"Other"
729	"GVMAG-M-3300010368-24"	"GVMAG"	"SC9"	"MGVL57"	32.58	414683	91	37232	64932	16	"Marine"	"high"	"low"	"high"	"Other"
1611	"GVMAG-M-3300010368-29"	"GVMAG"	"SC10"	"MGVL63"	29.67	250679	84	8296	15310	31	"Marine"	"medium"	"medium"	"medium"	"Other"
1585	"GVMAG-M-3300010368-35"	"GVMAG"	"SC9"	"OLPV"	27.82	255584	93	29367	46328	18	"Marine"	"medium"	"low"	"medium"	"Other"
1260	"GVMAG-M-3300010368-6"	"GVMAG"	"SC9"	"MGVL43"	31.88	311988	86	7467	26433	39	"Marine"	"high"	"medium"	"medium"	"Other"
527	"GVMAG-M-3300010370-10"	"GVMAG"	"SC10"	"MGVL62"	21.78	459559	88	11269	28412	49	"Marine"	"medium"	"high"	"low"	"Other"
581	"GVMAG-M-3300010370-19"	"GVMAG"	"SC10"	"MGVL62"	25.68	445624	92	44073	130276	14	"Marine"	"high"	"low"	"high"	"Other"
100	"GVMAG-M-3300010370-2"	"GVMAG"	"SC9"	"YLMV"	25.68	867463	89	11829	43077	84	"Marine"	"high"	"high"	"low"	"Other"
1510	"GVMAG-M-3300010370-26"	"GVMAG"	"SC10"	"MGVL62"	24.67	268954	89	10158	21424	28	"Marine"	"high"	"low"	"medium"	"Other"
1029	"GVMAG-M-3300010370-30"	"GVMAG"	"SC9"	"YLMV"	28.86	352746	90	9631	22161	36	"Marine"	"medium"	"medium"	"medium"	"Other"
1343	"GVMAG-M-3300010370-5"	"GVMAG"	"SC10"	"MGVL62"	27.99	297300	89	15174	31310	22	"Marine"	"high"	"low"	"high"	"Other"
623	"GVMAG-M-3300010375-16"	"GVMAG"	"SC3"	"Sylvanviruses"	43.11	434381	92	42314	126008	11	"Rhizosphere"	"medium"	"low"	"medium"	"Other"
1954	"GVMAG-M-3300010396-37"	"GVMAG"	"SC1"	"MGVL3"	28.57	198748	86	9684	16506	21	"Soil"	"medium"	"medium"	"medium"	"Other"
812	"GVMAG-M-3300010397-1"	"GVMAG"	"SC1"	"MGVL6"	38.9	398102	85	18954	33098	28	"Soil"	"medium"	"low"	"medium"	"Other"
972	"GVMAG-M-3300011013-19"	"GVMAG"	"SC10"	"MGVL58"	26.52	364295	90	25568	64743	19	"Marine"	"high"	"low"	"high"	"Other"
1172	"GVMAG-M-3300012920-24"	"GVMAG"	"SC9"	"MGVL38"	28.88	328154	92	32199	37858	16	"Marine"	"high"	"low"	"high"	"Other"
257	"GVMAG-M-3300012920-30"	"GVMAG"	"SC10"	"MGVL64"	19.11	559133	90	17029	38603	40	"Marine"	"high"	"low"	"medium"	"Other"
573	"GVMAG-M-3300012928-17"	"GVMAG"	"SC10"	"Aureococcusviruses"	27.46	447225	93	16159	45892	34	"Marine"	"medium"	"medium"	"medium"	"Other"
1833	"GVMAG-M-3300012936-1"	"GVMAG"	"SC8"	"MGVSL10"	37.3	214581	94	16411	35155	15	"Marine"	"medium"	"medium"	"medium"	"Other"
567	"GVMAG-M-3300012936-15"	"GVMAG"	"SC9"	"MGVL38"	25.61	448985	92	47725	69681	12	"Marine"	"high"	"low"	"high"	"Other"
570	"GVMAG-M-3300012936-19"	"GVMAG"	"SC9"	"MGVL38"	23.72	448442	89	33090	57157	19	"Marine"	"high"	"low"	"high"	"Other"
1348	"GVMAG-M-3300012936-23"	"GVMAG"	"SC9"	"Prymnesioviruses"	22.34	296609	88	10463	27848	30	"Marine"	"high"	"low"	"medium"	"Other"
508	"GVMAG-M-3300012936-34"	"GVMAG"	"SC9"	"MGVL42"	25.49	462736	92	44268	102823	16	"Marine"	"high"	"low"	"high"	"Other"
771	"GVMAG-M-3300012936-37"	"GVMAG"	"SC9"	"OLPV"	28.99	406533	90	20276	39746	23	"Marine"	"high"	"low"	"high"	"Other"
464	"GVMAG-M-3300012936-38"	"GVMAG"	"SC6"	"Faunusviruses"	21.45	473637	92	17082	37202	35	"Marine"	"high"	"medium"	"medium"	"Other"
383	"GVMAG-M-3300012936-4"	"GVMAG"	"SC10"	"Tetraselmisviruses"	23.47	498399	90	11836	38355	45	"Marine"	"high"	"medium"	"medium"	"Other"
166	"GVMAG-M-3300012936-41"	"GVMAG"	"SC9"	"MGVL42"	27.69	670236	91	12841	46781	60	"Marine"	"high"	"high"	"low"	"Other"
1008	"GVMAG-M-3300012952-13"	"GVMAG"	"SC10"	"MGVL63"	53.71	356461	92	16368	48183	26	"Marine"	"high"	"low"	"high"	"Other"
1644	"GVMAG-M-3300012952-3"	"GVMAG"	"SC3"	"MGVL25"	42.14	244341	93	41077	69912	10	"Marine"	"medium"	"low"	"medium"	"Other"
1262	"GVMAG-M-3300012952-6"	"GVMAG"	"SC2"	"MGVL23"	27.21	311582	87	9879	19238	34	"Marine"	"high"	"medium"	"medium"	"Other"
1653	"GVMAG-M-3300012953-22"	"GVMAG"	"SC2"	"Iridoviruses"	38.95	241698	91	17625	53062	15	"Marine"	"high"	"low"	"high"	"Other"
738	"GVMAG-M-3300012954-11"	"GVMAG"	"SC9"	"MGVL42"	31.18	413727	91	10353	25033	43	"Marine"	"high"	"low"	"medium"	"Other"
884	"GVMAG-M-3300012954-15"	"GVMAG"	"SC9"	"Prymnesioviruses"	21.4	382297	91	12031	30027	36	"Marine"	"high"	"low"	"medium"	"Other"
840	"GVMAG-M-3300012954-17"	"GVMAG"	"SC9"	"MGVL47"	31.94	392593	89	19396	35857	23	"Marine"	"high"	"low"	"high"	"Other"
46	"GVMAG-M-3300012954-26"	"GVMAG"	"SC6"	"Klosneuviruses"	20.89	1220202	90	17995	46050	82	"Marine"	"high"	"high"	"low"	"Other"
1333	"GVMAG-M-3300012954-33"	"GVMAG"	"SC9"	"Prymnesioviruses"	22.62	298944	89	13575	24145	26	"Marine"	"high"	"high"	"low"	"Other"
96	"GVMAG-M-3300013004-26"	"GVMAG"	"SC10"	"MGVL68"	25.71	919477	86	16085	45852	70	"Freshwater"	"high"	"medium"	"low"	"Other"
1191	"GVMAG-M-3300013004-29"	"GVMAG"	"SC9"	"MGVL44"	33.3	324548	88	18975	31949	21	"Freshwater"	"high"	"low"	"high"	"Other"
665	"GVMAG-M-3300013004-36"	"GVMAG"	"SC9"	"MGVL57"	36.89	426337	87	12690	23498	40	"Freshwater"	"medium"	"medium"	"medium"	"Other"
881	"GVMAG-M-3300013004-38"	"GVMAG"	"SC10"	"MGVL62"	32.76	382797	91	26387	48735	20	"Freshwater"	"high"	"low"	"high"	"Other"
348	"GVMAG-M-3300013004-44"	"GVMAG"	"SC8"	"MGVL35"	39.5	515857	91	70968	192908	8	"Freshwater"	"high"	"low"	"high"	"Other"
275	"GVMAG-M-3300013004-50"	"GVMAG"	"SC10"	"MGVL68"	26.22	547433	90	12783	36191	49	"Freshwater"	"high"	"medium"	"medium"	"Other"
1991	"GVMAG-M-3300013004-63"	"GVMAG"	"SC2"	"MGVL20"	21.63	193090	88	10821	17718	20	"Freshwater"	"medium"	"medium"	"medium"	"Other"
1527	"GVMAG-M-3300013005-39"	"GVMAG"	"SC9"	"MGVL51"	32.31	266098	87	10845	24479	26	"Freshwater"	"high"	"low"	"medium"	"Other"
1157	"GVMAG-M-3300013005-43"	"GVMAG"	"SC9"	"MGVL43"	31.94	330100	86	17622	37720	26	"Freshwater"	"medium"	"low"	"medium"	"Other"
171	"GVMAG-M-3300013005-61"	"GVMAG"	"SC6"	"Cafeteriaviruses"	24.17	663258	87	21916	60980	41	"Freshwater"	"high"	"low"	"medium"	"Other"
1409	"GVMAG-M-3300013005-64"	"GVMAG"	"SC1"	"MGVL5"	17.66	285977	91	76336	88973	8	"Freshwater"	"high"	"medium"	"medium"	"Other"
818	"GVMAG-M-3300013006-15"	"GVMAG"	"SC8"	"MGVL34"	37.49	396679	93	248461	248461	4	"Freshwater"	"high"	"low"	"high"	"Other"
1779	"GVMAG-M-3300013006-17"	"GVMAG"	"SC9"	"OLPV"	42.07	222823	88	13098	30333	19	"Freshwater"	"medium"	"low"	"medium"	"Other"
1691	"GVMAG-M-3300013006-27"	"GVMAG"	"SC8"	"MGVL34"	40.3	236979	91	7299	87337	25	"Freshwater"	"medium"	"medium"	"medium"	"Other"
1169	"GVMAG-M-3300013006-35"	"GVMAG"	"SC9"	"MGVL41"	41.15	328663	92	27945	47983	16	"Freshwater"	"medium"	"low"	"medium"	"Other"
1316	"GVMAG-M-3300013010-19"	"GVMAG"	"SC2"	"Iridoviruses"	30.06	302154	90	38236	83797	8	"Marine"	"high"	"low"	"high"	"Other"
346	"GVMAG-M-3300013014-33"	"GVMAG"	"SC2"	"MGVL23"	32.47	516242	93	34052	75818	20	"Freshwater"	"medium"	"high"	"low"	"Other"
787	"GVMAG-M-3300013093-22"	"GVMAG"	"SC9"	"MGVL57"	34.34	403220	90	30225	60137	18	"Freshwater"	"high"	"medium"	"medium"	"Other"
1709	"GVMAG-M-3300013093-40"	"GVMAG"	"SC3"	"YLPV"	44.54	234073	92	11882	34204	20	"Freshwater"	"high"	"medium"	"medium"	"Other"
905	"GVMAG-M-3300013093-42"	"GVMAG"	"SC8"	"MGVL35"	38.15	377707	90	17296	32216	27	"Freshwater"	"high"	"low"	"high"	"Other"
974	"GVMAG-M-3300013093-48"	"GVMAG"	"SC10"	"MGVL59"	26.96	364145	92	32319	53778	14	"Freshwater"	"high"	"low"	"high"	"Other"
560	"GVMAG-M-3300013093-49"	"GVMAG"	"SC9"	"MGVL57"	33.52	451957	90	37973	44513	19	"Freshwater"	"high"	"low"	"high"	"Other"
1254	"GVMAG-M-3300013094-1"	"GVMAG"	"SC9"	"MGVL57"	54.04	313969	84	17244	41441	20	"Freshwater"	"medium"	"medium"	"medium"	"Other"
409	"GVMAG-M-3300013094-3"	"GVMAG"	"SC9"	"MGVL52"	27.58	490339	89	23616	48019	26	"Freshwater"	"high"	"low"	"high"	"Other"
